1,1,2,年,1,1,月,0,5,日,(,0,0,:,1,2,)
112年11月05日(00:12)
統計期,項目別,總計校數,公立校數,私立校數,總計學生數,公立學生數,私立學生數,總計教師數,公立教師數,私立教師數,總計上學期畢業生數,公立上學期畢業生數,私立上學期畢業生數
108學年,國中,739,725,14,"607,980","523,464","84,516","46,599","46,163",436,"209,978","181,954","28,024"
108學年,高級中等學校,513,300,213,"642,791","390,755","252,036","52,120","36,565","15,555","231,022","127,082","103,940"
108學年,大專校院,152,48,104,"1,213,172","439,073","774,099","46,137","19,880","26,257","301,170","108,100","193,070"
108學年,宗教研修學院,6,-,6,525,-,525,68,-,68,65,-,65
108學年,特殊教育學校,28,27,1,"5,018","4,959",59,"1,713","1,685",28,"1,858","1,843",15
108學年,國小補校,215,215,-,"10,091","10,091",-,-,-,-,"1,714","1,714",-
108學年,國中補校,172,169,3,"5,688","5,483",205,-,-,-,"1,367","1,305",62
108學年,空中及大專校院附設進修學校,91,13,78,"39,913","25,933","13,980",74,64,10,"12,503","5,838","6,665"
109學年,總計,"10,928","6,189","4,739","4,211,731","2,669,813","1,541,918","299,269","214,725","84,544","906,520","608,878","297,642"
109學年,幼兒園,"6,447","2,104","4,343","583,406","160,363","423,043","56,771","15,367","41,404",-,-,-
109學年,國小,"2,631","2,595",36,"1,173,866","1,132,157","41,709","96,966","94,802","2,164","197,948","191,675","6,273"
109學年,國中,737,724,13,"597,787","512,984","84,803","46,489","46,054",435,"204,470","176,981","27,489"
109學年,高級中等學校,513,301,212,"609,745","375,726","234,019","51,359","36,683","14,676","202,221","120,882","81,339"
109學年,大專校院,152,48,104,"1,203,460","447,146","756,314","45,811","20,039","25,772","284,662","108,213","176,449"
109學年,宗教研修學院,6,-,6,550,-,550,69,-,69,83,-,83
109學年,特殊教育學校,28,27,1,"4,759","4,706",53,"1,737","1,713",24,"1,631","1,618",13
109學年,國小補校,218,218,-,"9,380","9,380",-,-,-,-,"1,502","1,502",-
109學年,國中補校,168,165,3,"5,186","4,994",192,-,-,-,"1,339","1,289",50
109學年,空中及大專校院附設進修學校,28,7,21,"23,592","22,357","1,235",67,67,-,"12,664","6,718","5,946"
110學年,總計,"10,964","6,210","4,754","4,171,630","2,669,520","1,502,110","300,633","216,525","84,108","876,236","592,400","283,836"
110學年,幼兒園,"6,507","2,133","4,374","581,921","158,132","423,789","58,236","15,935","42,301",-,-,-
110學年,國小,"2,626","2,594",32,"1,191,317","1,148,515","42,802","98,104","95,881","2,223","191,419","185,115","6,304"
110學年,國中,734,722,12,"586,914","502,180","84,734","46,080","45,654",426,"197,412","170,017","27,395"
110學年,高級中等學校,514,303,211,"585,629","368,134","217,495","51,201","37,193","14,008","191,909","115,417","76,492"
110學年,大專校院,149,47,102,"1,185,830","453,358","732,472","45,119","20,087","25,032","284,414","111,799","172,615"
110學年,宗教研修學院,8,-,8,560,-,560,86,-,86,113,-,113
110學年,特殊教育學校,28,27,1,"4,573","4,516",57,"1,746","1,714",32,"1,494","1,481",13
110學年,國小補校,218,218,-,"7,673","7,673",-,-,-,-,"1,640","1,640",-
110學年,國中補校,162,159,3,"4,640","4,455",185,-,-,-,"1,448","1,386",62
110學年,空中及大專校院附設進修學校,18,7,11,"22,573","22,557",16,61,61,-,"6,387","5,545",842
111學年,總計,"11,106","6,252","4,854","4,103,689","2,665,495","1,438,194","301,784","218,202","83,582","842,540","566,402","276,138"
111學年,幼兒園,"6,661","2,180","4,481","572,730","149,517","423,213","59,501","16,374","43,127",-,-,-
111學年,國小,"2,626","2,594",32,"1,222,538","1,178,311","44,227","100,177","97,895","2,282","174,406","168,366","6,040"
111學年,國中,736,724,12,"562,230","479,658","82,572","45,415","44,966",449,"196,233","168,607","27,626"
111學年,高級中等學校,509,304,205,"567,943","363,985","203,958","50,450","37,073","13,377","178,519","110,569","67,950"
111學年,大專校院,148,47,101,"1,140,089","456,651","683,438","44,388","20,152","24,236","283,661","109,333","174,328"
111學年,宗教研修學院,8,-,8,559,-,559,75,-,75,109,-,109
111學年,特殊教育學校,28,27,1,"4,454","4,391",63,"1,715","1,679",36,"1,337","1,320",17
111學年,國小補校,214,214,-,"6,390","6,390",-,-,-,-,"1,524","1,524",-
111學年,國中補校,158,155,3,"4,326","4,166",160,-,-,-,"1,252","1,197",55
111學年,空中及大專校院附設進修學校,18,7,11,"22,430","22,426",4,63,63,-,"5,499","5,486",13
